Opcode	Instruction	64-bit Mode	Compat/32-bit-Legacy Mode	Description
66 0F 38 DD /r	AESENCLAST xmm1, xmm2/m128	V	V	Perform the last round of an AES encryption flow, operating on a 128-bit data (state) from xmm1 with a 128-bit round key from xmm2/m128.
VEX.NDS.128.66.0F38.WIG DD /r	VAESENCLAST xmm1, xmm2, xmm3/m128	V	V	Perform the last round of an AES encryption flow, operating on a 128-bit data (state) from xmm2 with a 128 bit round key from xmm3/m128; store the result in xmm1.
				
66 0F 38 DB /r	AESIMC xmm1, xmm2/m128	V	V	Perform the InvMixColumn transformation on a 128-bit round key from xmm2/m128 and store the result in xmm1.
VEX.128.66.0F38.WIG DB /r	VAESIMC xmm1, xmm2/m128	V	V	Perform the InvMixColumn transformation on a 128-bit round key from xmm2/m128 and store the result in xmm1.
				
66 0F 3A DF /r ib	AESKEYGENASSIST xmm1, xmm2/m128, imm8	V	V	Assist in AES round key generation using an 8 bits Round Constant (RCON) specified in the immediate byte, operating on 128 bits of data specified in xmm2/m128 and stores the result in xmm1.
VEX.128.66.0F3A.WIG DF /r ib	VAESKEYGENASSIST xmm1, xmm2/m128, imm8	V	V	Assist in AES round key generation using 8 bits Round Constant (RCON) specified in the immediate byte, operating on 128 bits of data specified in xmm2/m128 and stores the result in xmm1.
				
24 ib	AND AL, imm8	V	V	AL AND imm8.
25 iw	AND AX, imm16	V	V	AX AND imm16.
25 id	AND EAX, imm32	V	V	EAX AND imm32.
REX.W+ 25 id	AND RAX, imm32	V	NE	RAX AND imm32 sign-extended to 64-bits.
80 /4 ib	AND r/m8, imm8	V	V	r/m8 AND imm8.
REX+ 80 /4 ib	AND r/m8, imm8	V	NE	r/m8 AND imm8.
81 /4 iw	AND r/m16, imm16	V	V	r/m16 AND imm16.
81 /4 id	AND r/m32, imm32	V	V	r/m32 AND imm32.
REX.W+ 81 /4 id	AND r/m64, imm32	V	NE	r/m64 AND imm32 sign extended to 64-bits.
83 /4 ib	AND r/m16, imm8	V	V	r/m16 AND imm8 (sign-extended).
83 /4 ib	AND r/m32, imm8	V	V	r/m32 AND imm8 (sign-extended).
REX.W+ 83 /4 ib	AND r/m64, imm8	V	NE	r/m64 AND imm8 (sign-extended).
20 /r	AND r/m8, r8	V	V	r/m8 AND r8.
REX+ 20 /r	AND r/m8, r8	V	NE	r/m64 AND r8 (sign-extended).
21 /r	AND r/m16, r16	V	V	r/m16 AND r16.
21 /r	AND r/m32, r32	V	V	r/m32 AND r32.
REX.W+ 21 /r	AND r/m64, r64	V	NE	r/m64 AND r32.
22 /r	AND r8, r/m8	V	V	r8 AND r/m8.
REX+ 22 /r	AND r8, r/m8	V	NE	r/m64 AND r8 (sign-extended).
23 /r	AND r16, r/m16	V	V	r16 AND r/m16.
23 /r	AND r32, r/m32	V	V	r32 AND r/m32.
REX.W+ 23 /r	AND r64, r/m64	V	NE	r64 AND r/m64.
				
66 0F 54 /r	ANDPD xmm1, xmm2/m128	V	V	Return the bitwise logical AND of packed double-precision floating-point values in xmm1 and xmm2/m128.
VEX.NDS.128.66.0F.WIG 54 /r	VANDPD xmm1, xmm2, xmm3/m128	V	V	Return the bitwise logical AND of packed double-precision floating-point values in xmm2 and xmm3/mem.
VEX.NDS.256.66.0F.WIG 54 /r	VANDPD ymm1, ymm2, ymm3/m256	V	V	Return the bitwise logical AND of packed double-precision floating-point values in ymm2 and ymm3/mem.
				
0F 54 /r	ANDPS xmm1, xmm2/m128	V	V	Bitwise logical AND of xmm2/m128 and xmm1.
VEX.NDS.128.0F.WIG 54 /r	VANDPS xmm1,xmm2, xmm3/m128	V	V	Return the bitwise logical AND of packed single-precision floating-point values in xmm2 and xmm3/mem.
VEX.NDS.256.0F.WIG 54 /r	VANDPS ymm1, ymm2, ymm3/m256	V	V	Return the bitwise logical AND of packed single-precision floating-point values in ymm2 and ymm3/mem.
				
66 0F 55 /r	ANDNPD xmm1, xmm2/m128	V	V	Bitwise logical AND NOT of xmm2/m128 and xmm1.
VEX.NDS.128.66.0F.WIG 55 /r	VANDNPD xmm1, xmm2, xmm3/m128	V	V	Return the bitwise logical AND NOT of packed double-precision floating-point values in xmm2 and xmm3/mem.
VEX.NDS.256.66.0F.WIG 55 /r	VANDNPD ymm1, ymm2, ymm3/m256	V	V	Return the bitwise logical AND NOT of packed double-precision floating-point values in ymm2 and ymm3/mem.
				
0F 55 /r	ANDNPS xmm1, xmm2/m128	V	V	Bitwise logical AND NOT of xmm2/m128 and xmm1.
VEX.NDS.128.0F.WIG 55 /r	VANDNPS xmm1, xmm2, xmm3/m128	V	V	Return the bitwise logical AND NOT of packed single-precision floating-point values in xmm2 and xmm3/mem.
VEX.NDS.256.0F.WIG 55 /r	VANDNPS ymm1, ymm2, ymm3/m256	V	V	Return the bitwise logical AND NOT of packed single-precision floating-point values in ymm2 and ymm3/mem.
				
63 /r	ARPL r/m16, r16	NE	V	Adjust RPL of r/m16 to not less than RPL of r16.
				
66 0F 3A 0D /r ib	BLENDPD xmm1, xmm2/m128, imm8	V	V	Select packed DP-FP values from xmm1 and xmm2/m128 from mask specified in imm8 and store the values into xmm1.
VEX.NDS.128.66.0F3A.WIG0D /r ib	VBLENDPD xmm1, xmm2, xmm3/m128, imm8	V	V	Select packed double-precision floating-point values from xmm2 and xmm3/m128 from mask in imm8 and store the values in xmm1. 
VEX.NDS.256.66.0F3A.WIG0D /r ib	VBLENDPD ymm1, ymm2, ymm3/m256, imm8	V	V	Select packed double-precision floating-point values from ymm2 and ymm3/m256 from mask in imm8 and store the values in ymm1.
				
66 0F 3A 0C /r ib	BLENDPS xmm1, xmm2/m128, imm8	V	V	Select packed single precision floating-point values from xmm1 and xmm2/m128 from mask specified in imm8 and store the values into xmm1.
VEX.NDS.128.66.0F3A.WIG0C /r ib	VBLENDPS xmm1, xmm2, xmm3/m128, imm8	V	V	Select packed single-precision floating-point values from xmm2 and xmm3/m128 from mask in imm8 and store the values in xmm1.
VEX.NDS.256.66.0F3A.WIG0C /r ib	VBLENDPS ymm1, ymm2, ymm3/m256, imm8	V	V	Select packed single-precision floating-point values from ymm2 and ymm3/m256 from mask in imm8 and store the values in ymm1.
				
66 0F 38 15 /r	BLENDVPD xmm1, xmm2/m128 , <XMM0>	V	V	Select packed DP FP values from xmm1 and xmm2 from mask specified in XMM0 and store the values in xmm1.
VEX.NDS.128.66.0F3A.W0 4B /r /is4	VBLENDVPD xmm1, xmm2, xmm3/m128, xmm4	V	V	Conditionally copy double-precision floating- point values from xmm2 or xmm3/m128 to xmm1, based on mask bits in the mask operand, xmm4.
VEX.NDS.256.66.0F3A.W0 4B /r /is4	VBLENDVPD ymm1, ymm2, ymm3/m256, ymm4	V	V	Conditionally copy double-precision floating- point values from ymm2 or ymm3/m256 to ymm1, based on mask bits in the mask operand, ymm4.
				
66 0F 38 14 /r	BLENDVPS xmm1, xmm2/m128, <XMM0>	V	V	Select packed single precision floating-point values from xmm1 and xmm2/m128 from mask specified in XMM0 and store the values into xmm1.
VEX.NDS.128.66.0F3A.W0 4A /r /is4	VBLENDVPS xmm1, xmm2, xmm3/m128, xmm4	V	V	Conditionally copy single-precision floating- point values from xmm2 or xmm3/m128 to xmm1, based on mask bits in the specified mask operand, xmm4.
VEX.NDS.256.66.0F3A.W0 4A /r /is4	VBLENDVPS ymm1, ymm2, ymm3/m256, ymm4	V	V	Conditionally copy single-precision floating- point values from ymm2 or ymm3/m256 to ymm1, based on mask bits in the specified mask register, ymm4.
				
62 /r	BOUND r16, m16&16	I	V	Check if r16 (array index) is within bounds specified by m16&16.
62 /r	BOUND r32, m32&32	I	V	Check if r32 (array index) is within bounds specified by m16&16.
				
0F BC /r	BSF r16, r/m16	V	V	Bit scan forward on r/m16.
0F BC /r	BSF r32, r/m32	V	V	Bit scan forward on r/m32.
REX.W+ 0F BC	BSF r64, r/m64	V	NE	Bit scan forward on r/m64.
				
0F BD /r	BSR r16, r/m16	V	V	Bit scan reverse on r/m16.
0F BD /r	BSR r32, r/m32	V	V	Bit scan reverse on r/m32.
REX.W+ 0F BD	BSR r64, r/m64	V	NE	Bit scan reverse on r/m64.
				
0F C8 +rd	BSWAP r32	V	V	Reverses the byte order of a 32-bit register.
REX.W+ 0F C8 +rd	BSWAP r64	V	NE	Reverses the byte order of a 64-bit register.
				
0F A3	BT r/m16, r16	V	V	Store selected bit in CF flag.
0F A3	BT r/m32, r32	V	V	Store selected bit in CF flag.
REX.W+ 0F A3	BT r/m64, r64	V	NE	Store selected bit in CF flag.
0F BA /4 ib	BT r/m16, imm8	V	V	Store selected bit in CF flag.
0F BA /4 ib	BT r/m32, imm8	V	V	Store selected bit in CF flag.
REX.W+ 0F BA /4 ib	BT r/m64, imm8	V	NE	Store selected bit in CF flag.
				
0F BB	BTC r/m16, r16	V	V	Store selected bit in CF flag and complement.
0F BB	BTC r/m32, r32	V	V	Store selected bit in CF flag and complement.
REX.W+ 0F BB	BTC r/m64, r64	V	NE	Store selected bit in CF flag and complement.
0F BA /7 ib	BTC r/m16, imm8	V	V	Store selected bit in CF flag and complement.
0F BA /7 ib	BTC r/m32, imm8	V	V	Store selected bit in CF flag and complement.
REX.W+ 0F BA /7 ib	BTC r/m64, imm8	V	NE	Store selected bit in CF flag and complement.
				
0F B3	BTR r/m16, r16	V	V	Store selected bit in CF flag and clear.
0F B3	BTR r/m32, r32 	V	V	Store selected bit in CF flag and clear.
REX.W+ 0F B3	BTR r/m64, r64 	V	NE	Store selected bit in CF flag and clear.
0F BA /6 ib	BTR r/m16, imm8 	V	V	Store selected bit in CF flag and clear.
0F BA /6 ib	BTR r/m32, imm8 	V	V	Store selected bit in CF flag and clear.
REX.W+ 0F BA /6 ib	BTR r/m64, imm8	V	NE	Store selected bit in CF flag and clear.
				
0F AB	BTS r/m16, r16 	V	V	Store selected bit in CF flag and set.
0F AB	BTS r/m32, r32 	V	V	Store selected bit in CF flag and set.
REX.W+ 0F AB	BTS r/m64, r64 	V	NE	Store selected bit in CF flag and set.
0F BA /5 ib	BTS r/m16, imm8 	V	V	Store selected bit in CF flag and set.
0F BA /5 ib	BTS r/m32, imm8 	V	V	Store selected bit in CF flag and set.
REX.W+ 0F BA /5 ib	BTS r/m64, imm8	V	NE	Store selected bit in CF flag and set.
				
E8 cw 	CALL rel16 	NS	V	Call near, relative, displacement relative to next instruction.
E8 cd	CALL rel32	V	V	Call near, relative, displacement relative to next instruction. 32-bit displacement sign extended to 64-bits in 64-bit mode.
FF /2	CALL r/m16	NE	V	Call near, absolute indirect, address given in r/m16.
FF /2	CALL r/m32	NE	V	Call near, absolute indirect, address given in r/m32.
FF /2	CALL r/m64	V	NE	Call near, absolute indirect, address given in r/m64.
9A cd 	CALL ptr16:16 	I	V	Call far, absolute, address given in operand.
9A cp 	CALL ptr16:32 	I	V	Call far, absolute, address given in operand.
FF /3	CALL m16:16	V	V	Call far, absolute indirect address given in m16:16. In 32-bit mode: if selector points to a gate, then RIP = 32-bit zero extended displacement taken from gate; else RIP = zero extended 16- bit offset from far pointer referenced in the instruction.
FF /3	CALL m16:32	V	V	In 64-bit mode: If selector points to a gate, then RIP = 64-bit displacement taken from gate; else RIP = zero extended 32-bit offset from far pointer referenced in the instruction.
REX.W+ FF /3	CALL m16:64	V	NE	In 64-bit mode: If selector points to a gate, then RIP = 64-bit displacement taken from gate; else RIP = 64-bit offset from far pointer referenced in the instruction.
				
98	CBW	V	V	AX = sign-extend of AL.
98	CWDE	V	V	EAX = sign-extend of AX.
REX.W+ 98	CDQE	V	NE	RAX = sign-extend of EAX.
				
F8	CLC	V	V	Clear CF flag.
				
FC	CLD	V	V	Clear DF flag.
				
0F AE /7	CLFLUSH m8	V	V	Flushes cache line containing m8.
				
FA	CLI	V	V	Clear interrupt flag; interrupts disabled when interrupt flag cleared.
				
0F 06	CLTS	V	V	Clears TS flag in CR0.
				
F5	CMC	V	V	Complement CF flag.
				
0F 47 /r	CMOVA r16, r/m16 	V	V	Move if above (CF=0 and ZF=0).
0F 47 /r 	CMOVA r32, r/m32 	V	V	Move if above (CF=0 and ZF=0).
REX.W+ 0F 47 /r 	CMOVA r64, r/m64 	V	NE	Move if above (CF=0 and ZF=0).
0F 43 /r	CMOVAE r16, r/m16 	V	V	Move if above or equal (CF=0).
0F 43 /r 	CMOVAE r32, r/m32 	V	V	Move if above or equal (CF=0).
REX.W+ 0F 43 /r 	CMOVAE r64, r/m64 	V	NE	Move if above or equal (CF=0).
0F 42 /r	CMOVB r16, r/m16 	V	V	Move if below (CF=1).
0F 42 /r 	CMOVB r32, r/m32 	V	V	Move if below (CF=1).
REX.W+ 0F 42 /r 	CMOVB r64, r/m64 	V	NE	Move if below (CF=1).
0F 46 /r	CMOVBE r16, r/m16 	V	V	Move if below or equal (CF=1 or ZF=1).
0F 46 /r 	CMOVBE r32, r/m32 	V	V	Move if below or equal (CF=1 or ZF=1).
REX.W+ 0F 46 /r 	CMOVBE r64, r/m64	V	NE	Move if below or equal (CF=1 or ZF=1).
0F 42 /r	CMOVC r16, r/m16 	V	V	Move if carry (CF=1).
0F 42 /r 	CMOVC r32, r/m32 	V	V	Move if carry (CF=1).
REX.W+ 0F 42 /r 	CMOVC r64, r/m64 	V	NE	Move if carry (CF=1).
0F 44 /r	CMOVE r16, r/m16 	V	V	Move if equal (ZF=1).
0F 44 /r 	CMOVE r32, r/m32 	V	V	Move if equal (ZF=1).
REX.W+ 0F 44 /r 	CMOVE r64, r/m64 	V	NE	Move if equal (ZF=1).
0F 4F /r	CMOVG r16, r/m16 	V	V	Move if greater (ZF=0 and SF=OF).
0F 4F /r 	CMOVG r32, r/m32 	V	V	Move if greater (ZF=0 and SF=OF).
REX.W+ 0F 4F /r 	CMOVG r64, r/m64 	V	NE	Move if greater (ZF=0 and SF=OF).
0F 4D /r	CMOVGE r16, r/m16 	V	V	Move if greater or equal (SF=OF).
0F 4D /r 	CMOVGE r32, r/m32 	V	V	Move if greater or equal (SF=OF).
REX.W+ 0F 4D /r 	CMOVGE r64, r/m64 	V	NE	Move if greater or equal (SF=OF).
0F 4C /r	CMOVL r16, r/m16 	V	V	Move if less (SF != OF).
0F 4C /r 	CMOVL r32, r/m32 	V	V	Move if less (SF!= OF).
REX.W+ 0F 4C /r 	CMOVL r64, r/m64 	V	NE	Move if less (SF!= OF).
0F 4E /r	CMOVLE r16, r/m16 	V	V	Move if less or equal (ZF=1 or SF!= OF).
0F 4E /r 	CMOVLE r32, r/m32 	V	V	Move if less or equal (ZF=1 or SF!= OF).
REX.W+ 0F 4E /r 	CMOVLE r64, r/m64 	V	NE	Move if less or equal (ZF=1 or SF!= OF).
0F 46 /r	CMOVNA r16, r/m16 	V	V	Move if not above (CF=1 or ZF=1).
0F 46 /r 	CMOVNA r32, r/m32 	V	V	Move if not above (CF=1 or ZF=1).
REX.W+ 0F 46 /r	CMOVNA r64, r/m64 	V	NE	Move if not above (CF=1 or ZF=1).
0F 42 /r	CMOVNAE r16, r/m16 	V	V	Move if not above or equal (CF=1).
0F 42 /r 	CMOVNAE r32, r/m32 	V	V	Move if not above or equal (CF=1).
REX.W+ 0F 42 /r 	CMOVNAE r64, r/m64 	V	NE	Move if not above or equal (CF=1).
0F 43 /r	CMOVNB r16, r/m16 	V	V	Move if not below (CF=0).
0F 43 /r 	CMOVNB r32, r/m32 	V	V	Move if not below (CF=0).
REX.W+ 0F 43 /r 	CMOVNB r64, r/m64 	V	NE	Move if not below (CF=0).
0F 47 /r	CMOVNBE r16, r/m16	V	V	Move if not below or equal (CF=0 and ZF=0).
0F 47 /r 	CMOVNBE r32, r/m32 	V	V	Move if not below or equal (CF=0 and ZF=0).
REX.W+ 0F 47 /r 	CMOVNBE r64, r/m64 	V	NE	Move if not below or equal (CF=0 and ZF=0).
0F 43 /r	CMOVNC r16, r/m16 	V	V	Move if not carry (CF=0).
0F 43 /r 	CMOVNC r32, r/m32 	V	V	Move if not carry (CF=0).
REX.W+ 0F 43 /r 	CMOVNC r64, r/m64 	V	NE	Move if not carry (CF=0).
0F 45 /r	CMOVNE r16, r/m16 	V	V	Move if not equal (ZF=0).
0F 45 /r 	CMOVNE r32, r/m32 	V	V	Move if not equal (ZF=0).
REX.W+ 0F 45 /r 	CMOVNE r64, r/m64 	V	NE	Move if not equal (ZF=0).
0F 4E /r	CMOVNG r16, r/m16 	V	V	Move if not greater (ZF=1 or SF!= OF).
0F 4E /r 	CMOVNG r32, r/m32 	V	V	Move if not greater (ZF=1 or SF!= OF).
REX.W+ 0F 4E /r 	CMOVNG r64, r/m64 	V	NE	Move if not greater (ZF=1 or SF!= OF).
0F 4C /r	CMOVNGE r16, r/m16 	V	V	Move if not greater or equal (SF!= OF).
0F 4C /r 	CMOVNGE r32, r/m32 	V	V	Move if not greater or equal (SF!= OF).
REX.W+ 0F 4C /r 	CMOVNGE r64, r/m64 	V	NE	Move if not greater or equal (SF!= OF).
0F 4D /r	CMOVNL r16, r/m16 	V	V	Move if not less (SF=OF).
0F 4D /r 	CMOVNL r32, r/m32 	V	V	Move if not less (SF=OF).
REX.W+ 0F 4D /r 	CMOVNL r64, r/m64 	V	NE	Move if not less (SF=OF).
0F 4F /r	CMOVNLE r16, r/m16 	V	V	Move if not less or equal (ZF=0 and SF=OF).
0F 4F /r 	CMOVNLE r32, r/m32 	V	V	Move if not less or equal (ZF=0 and SF=OF).
REX.W+ 0F 4F /r 	CMOVNLE r64, r/m64 	V	NE	Move if not less or equal (ZF=0 and SF=OF).
0F 41 /r	CMOVNO r16, r/m16 	V	V	Move if not overflow (OF=0).
0F 41 /r 	CMOVNO r32, r/m32 	V	V	Move if not overflow (OF=0).
REX.W+ 0F 41 /r 	CMOVNO r64, r/m64 	V	NE	Move if not overflow (OF=0).
0F 4B /r	CMOVNP r16, r/m16 	V	V	Move if not parity (PF=0).
0F 4B /r 	CMOVNP r32, r/m32 	V	V	Move if not parity (PF=0).
REX.W+ 0F 4B /r 	CMOVNP r64, r/m64 	V	NE	Move if not parity (PF=0).
0F 49 /r	CMOVNS r16, r/m16 	V	V	Move if not sign (SF=0).
0F 49 /r 	CMOVNS r32, r/m32 	V	V	Move if not sign (SF=0).
REX.W+ 0F 49 /r 	CMOVNS r64, r/m64 	V	NE	Move if not sign (SF=0).
0F 45 /r	CMOVNZ r16, r/m16 	V	V	Move if not zero (ZF=0).
0F 45 /r 	CMOVNZ r32, r/m32 	V	V	Move if not zero (ZF=0).
REX.W+ 0F 45 /r 	CMOVNZ r64, r/m64 	V	NE	Move if not zero (ZF=0).
0F 40 /r	CMOVO r16, r/m16 	V	V	Move if overflow (OF=1).
0F 40 /r 	CMOVO r32, r/m32 	V	V	Move if overflow (OF=1).
REX.W+ 0F 40 /r 	CMOVO r64, r/m64 	V	NE	Move if overflow (OF=1).
0F 4A /r	CMOVP r16, r/m16 	V	V	Move if parity (PF=1).
0F 4A /r 	CMOVP r32, r/m32 	V	V	Move if parity (PF=1).
REX.W+ 0F 4A /r 	CMOVP r64, r/m64 	V	NE	Move if parity (PF=1).
0F 4A /r	CMOVPE r16, r/m16 	V	V	Move if parity even (PF=1).
0F 4A /r 	CMOVPE r32, r/m32 	V	V	Move if parity even (PF=1).
REX.W+ 0F 4A /r	CMOVPE r64, r/m64	V	NE	Move if parity even (PF=1).
0F 4B /r	CMOVPO r16, r/m16 	V	V	Move if parity odd (PF=0).
0F 4B /r	CMOVPO r32, r/m32 	V	V	Move if parity odd (PF=0).
REX.W+ 0F 4B /r 	CMOVPO r64, r/m64 	V	NE	Move if parity odd (PF=0).
0F 48 /r	CMOVS r16, r/m16 	V	V	Move if sign (SF=1).
0F 48 /r	CMOVS r32, r/m32 	V	V	Move if sign (SF=1).
REX.W+ 0F 48 /r 	CMOVS r64, r/m64 	V	NE	Move if sign (SF=1).
0F 44 /r	CMOVZ r16, r/m16 	V	V	Move if zero (ZF=1).
